Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,date,country
50,0.29,Very Good,H,SI2,60.7,60.0,404.0,4.33,4.37,2.64,2022-09-01,Venezuela
51,0.24,,F,SI1,60.9,61.0,404.0,4.02,4.03,2.45,2022-09-21,Qatar
52,0.23,Ideal,G,VS1,61.9,54.0,404.0,,,2.44,2022-09-03,Ghana
53,,Ideal,I,SI1,60.9,55.0,404.0,4.45,4.48,2.72,2022-09-19,Botswana
54,0.22,Premium,E,,61.6,58.0,404.0,3.93,3.89,2.41,2022-09-16,Sri Lanka
55,0.22,Premium,D,VS2,59.3,62.0,404.0,,3.88,2.31,2022-09-16,Equatorial Guinea
56,0.3,,I,SI2,61.0,59.0,405.0,4.3,4.33,,2022-09-07,Ireland
57,0.3,Premium,J,SI2,59.3,61.0,405.0,4.43,4.38,2.61,2022-09-14,Latvia
58,0.3,Very Good,I,SI1,,57.0,405.0,4.25,4.28,2.67,2022-09-09,Vatican City State
59,0.3,Very Good,I,SI1,63.0,57.0,405.0,4.28,4.32,2.71,2022-09-19,Finland
60,0.3,,I,SI1,63.2,55.0,405.0,4.25,4.29,2.7,2098-06-09,Niue
61,0.35,Ideal,I,VS1,60.9,57.0,552.0,4.54,4.59,2.78,2022-09-21,Sudan
62,0.3,Premium,D,SI1,62.6,59.0,552.0,4.23,4.27,2.66,2022-09-18,Gabon
63,0.3,,D,SI1,62.5,57.0,552.0,,4.32,2.69,2022-09-06,Solomon Islands
64,0.3,Ideal,D,,62.1,56.0,552.0,4.3,4.33,2.68,2022-09-26,Guam
65,0.42,Premium,I,SI2,61.5,,552.0,,4.84,2.96,2022-09-01,Northern Mariana Islands
66,0.28,Ideal,G,VVS2,61.4,56.0,553.0,4.19,4.22,2.58,2022-09-27,Canada
67,0.32,Ideal,I,VVS1,,55.3,553.0,4.39,4.42,2.73,2022-09-26,Oman
68,0.31,,G,SI1,63.3,57.0,553.0,4.33,4.3,2.73,2022-08-30,Nigeria
69,0.31,Premium,,SI1,61.8,58.0,553.0,4.35,4.32,2.68,2022-09-06,Guyana
70,0.24,Premium,E,VVS1,60.7,58.0,553.0,4.01,4.03,2.44,2112-03-06,Uganda
71,0.24,Very Good,D,VVS1,61.5,,553.0,3.97,4.0,2.45,2022-09-03,New Zealand
72,,Very Good,H,SI1,63.1,56.0,554.0,4.29,4.27,2.7,2022-09-23,Kazakhstan
73,0.3,Premium,H,SI1,62.9,59.0,554.0,4.28,4.24,2.68,2022-09-07,Qatar
74,0.3,Premium,H,SI1,62.5,57.0,554.0,4.29,4.25,2.67,2022-09-22,Guyana
75,0.3,Good,H,SI1,63.7,57.0,554.0,4.28,4.26,2.72,2022-09-06,Korea (North)
76,0.26,Very Good,F,VVS2,59.2,60.0,554.0,4.19,4.22,2.49,2022-09-27,Liberia
77,0.26,Very Good,E,VVS2,59.9,58.0,554.0,4.15,4.23,2.51,2022-09-09,Cayman Islands
78,0.26,Very Good,D,VVS2,62.4,,554.0,4.08,4.13,2.56,2022-09-06,United Kingdom
79,0.26,Very Good,D,VVS2,62.8,60.0,554.0,4.01,4.05,2.53,2022-09-08,Switzerland
80,0.26,Very Good,E,VVS1,62.6,59.0,554.0,4.06,4.09,,2022-08-30,Zimbabwe
81,0.26,Very Good,E,VVS1,63.4,59.0,554.0,4.0,4.04,2.55,2022-08-30,Guinea-bissau
82,0.26,Very Good,D,VVS1,62.1,60.0,554.0,4.03,4.12,2.53,2022-09-08,Reunion
83,0.26,Ideal,E,VVS2,62.9,58.0,554.0,4.02,4.06,,2022-09-11,New Zealand
84,0.38,Ideal,I,SI2,61.6,56.0,554.0,4.65,,2.87,2022-09-11,Venezuela
85,0.26,Good,E,VVS1,57.9,60.0,554.0,4.22,4.25,2.45,2022-09-08,Seychelles
86,0.24,Premium,G,VVS1,62.3,59.0,554.0,3.95,3.92,2.45,2022-09-04,Marshall Islands
87,0.24,Premium,H,VVS1,61.2,58.0,554.0,,3.96,2.44,2022-09-12,Central African Rep
88,0.24,Premium,H,VVS1,60.8,59.0,554.0,4.02,4.0,2.44,2022-09-12,Italy
89,0.24,Premium,H,,60.7,58.0,554.0,,4.04,2.46,2022-09-09,Pitcairn
90,0.32,Premium,I,SI1,62.9,58.0,554.0,4.35,4.33,2.73,2022-09-17,Cayman Islands
91,0.7,Ideal,E,SI1,62.5,57.0,2757.0,5.7,5.72,3.57,2022-09-18,Gabon
92,0.86,Fair,E,SI2,55.1,69.0,2757.0,6.45,6.33,3.52,,Benin
93,0.7,Ideal,G,VS2,61.6,56.0,2757.0,5.7,,3.5,,Madagascar
94,0.71,Very Good,E,VS2,62.4,57.0,,5.68,5.73,3.56,2022-09-08,Greenland
95,0.78,Very Good,G,SI2,63.8,56.0,2759.0,5.81,5.85,,2022-09-14,Dominican Republic
96,0.7,Good,E,VS2,57.5,58.0,2759.0,5.85,5.9,3.38,2022-09-18,South Africa
97,0.7,Good,F,VS1,59.4,62.0,2759.0,5.71,5.76,3.4,2022-09-12,Rwanda
98,0.96,Fair,F,SI2,66.3,62.0,2759.0,6.27,5.95,4.07,2022-08-31,Honduras
99,,Very Good,,SI1,61.6,59.0,2760.0,5.77,5.78,,2022-09-11,Bhutan
100,0.8,Premium,,SI1,61.5,58.0,2760.0,5.97,5.93,,2022-09-22,Guatemala
101,0.75,Very Good,D,SI1,,56.0,2760.0,5.8,,3.65,2022-08-30,Haiti
102,0.75,Premium,E,SI1,59.9,54.0,2760.0,6.0,5.96,3.58,2022-09-04,Sierra Leone
103,0.74,Ideal,G,SI1,61.6,55.0,2760.0,5.8,,3.59,2092-10-29,Cayman Islands
104,,,G,VS2,61.7,58.0,2760.0,5.85,,3.59,2022-09-13,Qatar
105,0.8,Ideal,I,,62.9,56.0,2760.0,5.94,5.87,3.72,2022-09-11,Samoa
106,0.75,Ideal,G,SI1,62.2,55.0,2760.0,5.87,5.8,3.63,2022-09-15,Netherlands Antilles
107,0.8,Premium,G,SI1,63.0,59.0,2760.0,5.9,5.81,3.69,2022-09-24,Botswana
108,0.74,Ideal,I,VVS2,62.3,55.0,2761.0,5.77,5.81,3.61,2022-09-27,Argentina
109,0.81,Ideal,F,SI2,58.8,57.0,2761.0,6.14,6.11,3.6,2022-09-28,Kuwait
110,,Ideal,E,VVS2,62.0,55.0,,5.38,5.43,3.35,2022-09-09,Philippines
111,0.8,,F,SI2,,57.0,2761.0,5.96,6.0,3.67,,Palau
112,0.74,Ideal,E,SI2,62.2,56.0,2761.0,5.8,5.84,3.62,2022-09-16,Argentina
113,0.9,Premium,I,VS2,63.0,58.0,2761.0,6.16,6.12,3.87,2022-09-08,Slovakia
114,0.74,Very Good,G,SI1,62.2,59.0,2762.0,5.73,5.82,3.59,2022-09-01,Cook Islands
115,0.73,Ideal,F,VS2,62.6,56.0,2762.0,5.77,5.74,3.6,2109-08-26,Equatorial Guinea
116,0.73,Ideal,F,VS2,,53.0,2762.0,5.8,5.75,3.62,,Costa Rica
117,0.8,Premium,F,SI2,61.7,58.0,2762.0,5.98,5.94,3.68,2022-09-11,Cuba
118,0.71,Ideal,G,VS2,62.4,54.0,2762.0,5.72,5.76,3.58,2022-09-18,Austria
119,0.7,Ideal,E,VS2,60.7,58.0,2762.0,5.73,5.76,3.49,2022-09-01,Chad
120,0.8,Ideal,F,SI2,59.9,59.0,2762.0,6.01,,3.62,2022-09-28,Sierra Leone
121,0.71,Ideal,D,SI2,62.3,56.0,2762.0,5.73,5.69,3.56,2022-09-12,Nepal
122,0.74,Ideal,E,SI1,62.3,54.0,2762.0,5.8,5.83,3.62,2022-09-10,Germany
123,0.7,Very Good,F,,61.7,,2762.0,5.64,5.61,3.47,2022-09-03,Nepal
124,0.7,Fair,F,VS2,64.5,57.0,2762.0,5.57,5.53,3.58,2099-07-25,Vanuatu
125,0.7,Fair,F,VS2,65.3,55.0,2762.0,5.63,5.58,3.66,2022-09-27,United States
126,0.7,,F,VS2,61.6,60.0,2762.0,5.65,5.59,3.46,2022-09-13,Saudi Arabia
127,0.91,Premium,H,SI1,61.4,,2763.0,6.09,5.97,3.7,2022-09-06,Saudi Arabia
128,0.61,Very Good,D,VVS2,59.6,57.0,2763.0,,5.58,3.32,2022-09-13,Comoros
129,0.91,Fair,H,SI2,64.4,57.0,2763.0,6.11,6.09,3.93,2022-09-25,Dominica
130,0.91,Fair,H,SI2,65.7,60.0,2763.0,6.03,5.99,3.95,2022-09-09,United Kingdom
131,0.77,Ideal,H,VS2,62.0,56.0,2763.0,5.89,5.86,3.64,2022-09-06,Armenia
132,0.71,Very Good,D,SI1,63.6,58.0,2764.0,5.64,5.68,3.6,2022-09-15,Germany
133,0.71,Ideal,D,SI1,61.9,59.0,2764.0,5.69,5.72,3.53,2022-09-19,Bosnia And Herzegowina
134,0.7,Very Good,,VS2,62.6,60.0,2765.0,5.62,5.65,3.53,2022-09-24,Cook Islands
135,0.77,Very Good,H,VS1,61.3,,2765.0,5.88,5.9,3.61,2022-09-12,Guatemala
136,0.63,Premium,E,VVS1,60.9,60.0,2765.0,5.52,,3.37,2022-09-05,Turkey
137,0.71,Very Good,F,VS1,60.1,62.0,2765.0,5.74,5.77,3.46,2022-09-12,French Polynesia
138,0.71,Premium,F,VS1,61.8,59.0,2765.0,5.69,5.73,3.53,2022-09-11,United States
139,0.76,Ideal,H,SI1,61.2,57.0,2765.0,5.88,5.91,3.61,2022-09-15,Afghanistan
140,0.64,Ideal,,VVS1,61.9,56.0,2766.0,5.53,5.56,3.43,2022-09-10,Norway
141,0.71,Premium,G,VS2,60.9,57.0,2766.0,5.78,5.75,3.51,2022-09-07,Cambodia
142,,Premium,G,VS2,59.8,56.0,2766.0,5.89,5.81,3.5,2022-09-06,Norway
143,0.7,Very Good,D,VS2,61.8,55.0,2767.0,5.68,5.72,3.52,2022-09-09,China
144,0.7,Very Good,F,VS1,60.0,57.0,2767.0,5.8,5.87,3.5,2022-09-07,Latvia
145,0.71,Ideal,D,SI2,61.6,55.0,2767.0,5.74,5.76,3.54,2022-09-22,Zimbabwe
146,0.7,Good,H,VVS2,62.1,64.0,2767.0,5.62,5.65,3.5,2022-09-05,Zimbabwe
147,0.71,Very Good,G,VS1,,59.0,2768.0,5.52,5.61,3.52,2022-09-17,Kenya
148,0.73,Very Good,D,SI1,60.2,56.0,2768.0,5.83,5.87,3.52,2022-09-09,Croatia
149,0.7,Very Good,D,SI1,61.1,58.0,2768.0,5.66,5.73,3.48,2022-09-04,Greenland
150,0.7,Ideal,E,SI1,60.9,57.0,2768.0,5.73,5.76,,2022-09-09,Brazil
151,,Premium,D,SI2,61.7,59.0,,5.71,5.67,3.51,2022-09-15,Gibraltar
152,0.74,Ideal,I,SI1,61.3,56.0,,5.82,5.86,3.57,,Malaysia
153,0.71,Premium,D,VS2,62.5,60.0,2770.0,5.65,5.61,,2022-09-06,Mozambique
154,0.73,Premium,G,VS2,61.4,59.0,2770.0,5.83,5.76,3.56,2022-09-03,Cook Islands
155,0.76,Very Good,F,,62.9,57.0,2770.0,5.79,5.81,3.65,2022-08-30,Myanmar
156,0.76,Ideal,D,SI2,62.4,57.0,2770.0,5.78,5.83,3.62,2022-09-03,
157,0.71,Ideal,F,,60.7,56.0,2770.0,5.77,5.8,3.51,2022-09-04,Dominican Republic
158,0.73,Premium,G,VS2,60.7,58.0,,5.87,5.82,3.55,2022-09-18,Cook Islands
159,0.73,Premium,G,VS1,61.5,58.0,2770.0,5.79,5.75,3.55,2022-09-27,Equatorial Guinea
160,0.73,Ideal,D,SI2,59.9,57.0,2770.0,5.92,5.89,3.54,2022-09-03,Argentina
161,0.73,Premium,G,VS2,59.2,59.0,2770.0,5.92,5.87,3.49,2107-11-13,Liberia
162,0.72,Very Good,H,VVS2,60.3,56.0,2771.0,5.81,5.83,3.51,2022-09-08,Gibraltar
163,,Very Good,F,SI1,61.7,60.0,2771.0,5.79,5.82,3.58,2022-09-09,New Caledonia
164,0.71,Ideal,G,VS2,61.9,57.0,2771.0,5.73,,3.56,2022-09-25,Syrian Arab Republic
165,0.79,Ideal,F,SI2,61.9,55.0,2771.0,5.97,,3.68,2022-09-02,Luxembourg
166,0.73,Very Good,H,VVS1,60.4,59.0,2772.0,5.83,5.89,3.54,2022-09-13,Brunei Darussalam
167,0.8,Very Good,F,SI2,61.0,57.0,2772.0,6.01,6.03,3.67,2022-09-07,Uzbekistan
168,0.58,,G,VVS1,61.5,55.0,2772.0,5.39,5.44,3.33,2022-09-23,Antigua And Barbuda
169,0.58,Ideal,F,VVS1,61.7,56.0,2772.0,5.33,5.37,3.3,2022-09-07,Mexico
170,0.71,Good,E,VS2,59.2,61.0,2772.0,5.8,5.88,3.46,2022-09-04,Myanmar
171,0.75,Ideal,,SI2,61.3,56.0,2773.0,5.85,5.89,3.6,2022-08-30,Congo
172,0.7,Premium,D,VS2,58.0,62.0,2773.0,5.87,5.78,3.38,2022-08-31,Micronesia
173,1.17,Very Good,J,I1,60.2,61.0,2774.0,6.83,6.9,4.13,2022-09-01,Chad
174,0.6,Ideal,,VS1,61.7,55.0,2774.0,5.41,5.44,3.35,2022-08-31,Sudan
175,0.7,Ideal,E,SI1,62.7,55.0,2774.0,5.68,5.74,,2022-08-30,Belgium
176,,Good,I,VS2,64.6,54.0,2774.0,5.85,5.88,3.79,,Kazakhstan
177,0.74,Very Good,F,VS2,61.3,61.0,2775.0,5.8,5.84,3.57,2022-09-16,Viet Nam
178,0.72,Very Good,G,VS2,63.7,56.4,2776.0,5.62,5.69,3.61,2022-09-24,Cook Islands
179,0.71,Premium,E,VS2,62.7,58.0,2776.0,5.74,5.68,3.58,2022-09-16,Namibia
180,0.71,Ideal,E,,62.2,57.0,2776.0,5.79,5.62,3.55,2022-09-16,Bosnia And Herzegowina
181,0.54,Ideal,E,VVS2,,56.0,2776.0,5.25,5.27,3.24,2022-09-17,Namibia
182,0.54,Ideal,E,VVS2,61.5,,2776.0,5.24,5.26,3.23,2022-09-03,Virgin Islands (U.S.)
183,0.72,Ideal,G,SI1,61.8,56.0,2776.0,5.72,5.75,3.55,2107-04-21,Costa Rica
184,0.72,Ideal,G,SI1,60.7,56.0,2776.0,5.79,5.82,3.53,2022-09-07,Honduras
185,0.72,Good,G,VS2,59.7,60.5,2776.0,5.8,5.84,3.47,2022-08-31,Virgin Islands (British)
186,0.71,Ideal,G,SI1,60.5,56.0,2776.0,5.8,5.76,3.5,2022-08-31,Slovakia
187,0.7,Very Good,D,VS1,62.7,58.0,2777.0,5.66,5.73,3.57,2022-09-13,Zimbabwe
188,0.71,Premium,F,VS2,62.1,58.0,2777.0,5.67,5.7,3.53,2022-08-31,Madagascar
189,0.71,,F,VS2,62.8,57.0,2777.0,5.64,5.69,3.56,2022-09-09,Ireland
190,0.71,Good,F,VS2,63.8,58.0,2777.0,5.61,,3.59,2022-09-15,Bouvet Island
191,0.71,Good,,VS2,57.8,60.0,2777.0,5.87,5.9,3.4,2022-09-27,Seychelles
192,0.7,Ideal,E,VS2,62.1,55.0,2777.0,,5.67,3.53,2022-09-28,Burundi
193,0.7,Premium,E,VS2,61.1,60.0,2777.0,5.71,5.64,3.47,2022-09-05,Korea (North)
194,0.7,Premium,E,SI1,60.0,59.0,2777.0,5.79,5.75,3.46,2022-09-03,Mongolia
195,,Premium,E,SI1,61.2,57.0,2777.0,5.73,5.68,3.49,2022-09-11,Bhutan
196,,,E,SI1,62.7,59.0,2777.0,5.67,5.63,3.54,,Virgin Islands (U.S.)
197,0.7,Premium,E,SI1,61.0,57.0,2777.0,5.73,5.68,3.48,2022-09-22,India
198,0.7,Premium,E,SI1,61.0,58.0,,5.78,5.72,3.51,2096-09-29,Mauritania
199,0.7,Ideal,E,SI1,61.4,57.0,2777.0,5.76,,3.52,2022-09-17,Laos
200,0.72,Premium,F,SI1,61.8,61.0,,5.82,5.71,3.56,2022-09-06,Hungary
201,0.7,Very Good,E,SI1,59.9,63.0,2777.0,5.76,5.7,3.43,2022-09-16,Iraq
202,0.7,Premium,E,SI1,61.3,58.0,2777.0,5.71,5.68,3.49,2022-09-02,East Timor
203,0.7,Premium,E,SI1,,58.0,2777.0,5.77,5.74,3.48,2022-09-07,Angola
204,0.7,,E,VS2,64.1,59.0,2777.0,5.64,5.59,3.6,2022-09-09,St. Helena
205,0.98,Fair,H,SI2,67.9,60.0,2777.0,6.05,5.97,4.08,2022-09-04,Cook Islands
206,0.78,Premium,F,SI1,62.4,58.0,2777.0,5.83,5.8,3.63,2022-09-26,Marshall Islands
207,0.7,Very Good,E,SI1,63.2,60.0,2777.0,5.6,5.51,3.51,2022-09-22,Equatorial Guinea
208,0.52,Ideal,F,VVS1,61.3,55.0,2778.0,5.19,5.22,3.19,2022-09-12,Qatar
209,0.73,Very Good,H,VS2,60.8,56.0,,5.82,5.84,3.55,,Syrian Arab Republic
210,0.74,Ideal,E,SI1,61.7,56.0,2779.0,5.84,5.8,3.59,2022-09-03,Morocco
211,,Very Good,F,VS2,,57.0,2780.0,5.61,5.65,3.58,,Netherlands
212,0.77,,G,VS2,61.2,58.0,2780.0,5.9,5.93,3.62,2022-09-02,Greenland
213,0.71,Ideal,F,VS2,,54.0,2780.0,5.68,5.72,3.54,2022-09-04,Faroe Islands
214,0.74,Ideal,G,VS1,61.5,55.0,2780.0,5.81,5.86,3.59,2022-09-13,Taiwan
215,0.7,Ideal,G,VS1,61.4,59.0,2780.0,5.64,5.73,3.49,2022-09-01,St. Helena
216,1.01,Premium,F,I1,61.8,60.0,2781.0,,6.36,3.94,2022-09-11,Cuba
217,0.77,Ideal,H,SI1,62.2,56.0,2781.0,5.83,,3.64,2022-09-08,Micronesia
218,0.78,Ideal,H,SI1,61.2,56.0,2781.0,5.92,5.99,3.64,2022-09-26,Puerto Rico
219,0.72,Very Good,H,VS1,60.6,63.0,2782.0,5.83,5.76,3.51,2022-09-20,Netherlands
220,0.53,Very Good,D,VVS2,57.5,64.0,2782.0,5.34,5.37,3.08,2022-09-09,Indonesia
221,0.76,Ideal,G,VS2,61.3,56.0,2782.0,5.9,5.94,3.63,2022-09-01,Burundi
222,0.7,Good,E,VS1,57.2,62.0,2782.0,5.81,5.77,3.31,2022-09-23,Bhutan
223,0.7,Premium,E,VS1,62.9,60.0,,5.62,5.54,3.51,,French Guiana
224,0.75,Very Good,D,SI2,63.1,58.0,2782.0,5.78,5.73,3.63,2022-08-31,Guyana
225,0.72,Ideal,D,SI1,60.8,,2782.0,5.76,5.75,3.5,,Namibia
226,0.72,Premium,D,SI1,62.7,59.0,2782.0,5.73,5.69,3.58,2022-09-28,Austria
227,0.7,Premium,D,SI1,62.8,60.0,2782.0,5.68,5.66,3.56,2022-09-22,Anguilla
228,0.84,Fair,G,SI1,55.1,67.0,2782.0,6.39,6.2,3.47,2022-09-27,Mauritania
229,0.75,Premium,F,SI1,61.4,59.0,2782.0,5.88,5.85,3.6,2022-09-11,Myanmar
230,0.52,Ideal,F,IF,62.2,55.0,2783.0,5.14,5.18,3.21,2022-09-10,Bahrain
231,0.72,Very Good,F,,,,2784.0,5.69,5.73,3.6,2022-09-10,Russian Federation
232,0.79,Very Good,H,VS1,,56.0,,5.85,5.92,3.75,2022-09-15,Cameroon
233,0.72,Very Good,F,VS2,63.6,58.0,2787.0,5.66,5.69,3.61,2022-09-15,Armenia
234,0.51,Ideal,F,VVS1,62.0,57.0,2787.0,5.11,,3.18,2022-09-12,Armenia
235,0.64,Ideal,D,VS1,,56.0,2787.0,5.54,5.55,3.41,2022-09-04,Christmas Island
236,,Very Good,,VVS1,60.5,60.0,2788.0,5.74,5.77,3.48,2022-09-23,Honduras
237,0.83,Very Good,I,VS1,61.1,60.0,2788.0,6.07,6.1,3.72,2022-09-12,Pitcairn
238,0.76,Ideal,I,VVS2,61.8,56.0,2788.0,5.85,5.87,3.62,2022-09-09,Guinea-bissau
239,0.71,Good,D,VS2,63.3,56.0,2788.0,5.64,,3.58,2022-09-27,Ghana
240,0.77,Good,G,VS1,59.4,64.0,2788.0,5.97,5.92,3.53,2022-09-22,Spain
241,0.71,Ideal,F,SI1,62.5,55.0,2788.0,5.71,5.65,3.55,2022-09-22,Bulgaria
242,1.01,Fair,E,I1,64.5,58.0,2788.0,6.29,6.21,4.03,2022-08-31,Luxembourg
243,1.01,Premium,H,SI2,62.7,59.0,2788.0,6.31,6.22,3.93,2022-09-17,Finland
244,0.77,Good,F,,64.2,52.0,2789.0,5.81,5.77,3.72,2022-09-05,Morocco
245,0.76,,E,SI1,63.7,54.0,2789.0,5.76,5.85,3.7,2022-09-06,Bermuda
246,0.76,Premium,E,SI1,60.4,58.0,2789.0,5.92,5.94,3.58,2022-09-04,Israel
247,0.76,Premium,E,SI1,61.8,58.0,2789.0,5.82,5.86,3.61,2022-09-08,Guinea-bissau
248,1.05,Very Good,J,SI2,63.2,56.0,2789.0,6.49,6.45,4.09,2022-09-11,Portugal
249,0.81,Ideal,G,SI2,61.6,56.0,2789.0,5.97,6.01,,2022-09-25,Indonesia
250,0.7,Ideal,,SI1,61.6,56.0,2789.0,5.72,5.75,3.53,2022-09-08,Tajikistan
251,0.55,Ideal,G,IF,60.9,57.0,2789.0,5.28,5.3,3.22,2022-09-26,Afghanistan
252,0.81,Good,G,SI2,61.0,61.0,2789.0,5.94,5.99,3.64,2022-09-01,Mali
253,0.63,Premium,E,,62.1,57.0,2789.0,5.48,5.41,3.38,2022-09-28,Yugoslavia
254,0.63,Premium,E,VVS1,60.9,60.0,2789.0,5.55,5.52,3.37,2104-11-05,Qatar
255,0.77,Premium,H,VS1,61.3,60.0,2789.0,5.9,,3.61,2022-09-16,Georgia
256,1.05,Fair,J,SI2,65.8,59.0,2789.0,6.41,6.27,,2022-09-27,Romania
257,0.64,Ideal,G,IF,61.3,56.0,2790.0,5.54,5.58,3.41,2022-09-04,Gambia
258,0.76,Premium,I,VVS1,58.8,59.0,2790.0,6.0,5.94,3.51,2022-09-15,Laos
259,0.83,Ideal,F,SI2,62.3,55.0,2790.0,6.02,6.05,3.76,2022-09-25,Syrian Arab Republic
260,0.71,Premium,F,,60.1,62.0,2790.0,5.77,5.74,3.46,2022-09-06,Trinidad And Tobago
261,0.71,Premium,F,VS1,,59.0,2790.0,5.73,5.69,3.53,2022-08-31,Brunei Darussalam
262,0.87,Very Good,I,SI1,63.6,55.8,2791.0,6.07,6.1,,2022-08-31,Guam
263,0.73,Ideal,E,SI1,62.2,56.0,2791.0,5.74,5.78,3.58,2094-11-24,Jordan
264,0.71,Premium,E,SI1,59.2,59.0,2792.0,5.83,5.86,3.46,2022-08-31,Norway
265,0.71,Premium,E,SI1,61.8,59.0,2792.0,5.7,5.75,3.54,2022-09-08,Azerbaijan
